Filename,Question,Answer,Confidence
27.md,How to get a title replacement?,"To obtain a replacement title in Utah, follow these steps:

1. **Online Request**:
   - You may request a duplicate title online using the Motor Vehicle Portal (MVP) .

2. **Mail Request**:
   - Complete Form TC-123, Application for Duplicate Utah Title.
   - Submit the form along with a $6.00 title fee to:
     ```
     Division of Motor Vehicles
     Mail and Correspondence
     P.O. Box 30412
     Salt Lake City, UT 84130
     ```
   - Important: Do not send cash by mail. Ensure checks or money orders are payable to the Utah State Tax Commission (USTC) .

3. **In-Person Request**:
   - You can also visit a local DMV office to request a duplicate title by completing Form TC-123 and paying the $6.00 title fee .

4. **Processing Time**:
   - Duplicate titles typically take approximately 10 to 14 business days to be processed and delivered .

If you are selling the vehicle to a Utah resident, you may give the completed Form TC-123 to the buyer in place of the original title. Ensure that both Part 1 and Part 2 of the form are signed. It is recommended that a bill of sale accompany the application for the duplicate title .

References:
- https://dmv.utah.gov/faq/titles
 - https://dmv.utah.gov/titles/transfer-utah-title
 - https://dmv.utah.gov/faq/upp
 - https://dmv.utah.gov/faq/upp
 - https://dmv.utah.gov/titles/transfer-outofstate","High
This response is based directly on the information retrieved from the Utah DMV documents, ensuring accuracy and completeness."
28.md,I need to get a PIN number to get my vehicle renewed?,"No, a PIN number is not required to renew your vehicle registration using Renewal Express. You can complete your registration renewal by entering your last name, zip code, license plate number, and the last eight digits of your VIN. These details can be found on a previous registration .

References:
- https://dmv.utah.gov/register/renewal
 - https://dmv.utah.gov/faq/rex-pins
 - https://dmv.utah.gov/faq/registering
 - https://dmv.utah.gov/faq
 - https://dmv.utah.gov/register/inspections","High
**Reasoning:** The information is directly retrieved from the Utah DMV document which explicitly states that a PIN is not required for vehicle registration renewal using Renewal Express."
29.md,Why didn't I receive a renewal notice?,"The Utah DMV offers two ways to receive your registration renewal reminder: by email or by receiving a postcard mailer. If you did not receive your renewal notice, it may be due to an outdated address or a preference not being set. To ensure you receive future reminders, verify and update your address and notification preference on the Motor Vehicle Portal (MVP) .

References:
- https://dmv.utah.gov/faq/registering
 - https://dmv.utah.gov/faq/rex-pins
 - https://dmv.utah.gov/register/renewal
 - https://dmv.utah.gov/register/renewal
 - https://dmv.utah.gov/plates/disabled-person","High
**Reasoning:** The response is directly supported by the retrieved documents which clearly state the reasons for not receiving a renewal notice and provide guidance on how to ensure future notices are received."
3.md,How to exchange my current Utah plates with Antique Utah plates?,"To exchange your current Utah plates for Antique Utah plates, you need to follow these steps:

1. **Eligibility**: Ensure your vehicle is of a model year 1973 or older. Only vehicles of this age can display original-issue license plates issued during the same year as the model year of the vehicle .

2. **Verification**: Bring the original-issue plates to a Motor Vehicle Office for verification. The DMV staff will check the plates to ensure they are authentic and do not conflict with an existing series. There is no special application form required for this process .

3. **Conflict Resolution**: If the plate number conflicts with a currently-issued plate series, you can apply for special antique plate decals. To do this, you must:
   - Submit the antique (original issue) plate to a Motor Vehicle Office for verification.
   - Submit a current registration card.
   - Pay a $5.00 fee. Note that antique decals expire every December, and the yearly renewal fee is also $5.00 .

4. **No Fee**: There is no fee for placing an original issue plate on a vehicle if the plate number does not conflict with a currently issued series .

5. **Affidavit for Selling**: If you sell a vehicle with original issue plates assigned to it, you may also sell the plate by completing an affidavit relinquishing the plates .

References:
- https://dmv.utah.gov/plates/antique
 - https://dmv.utah.gov/plates/historical
 - https://dmv.utah.gov/plates/historic-bw
 - https://dmv.utah.gov/plates/army
 - https://dmv.utah.gov/plates","High. The steps provided are directly extracted from the Utah DMV documentation regarding the process for using antique plates on eligible vehicles. The information is specific and detailed, ensuring clarity in the process ."
30.md,Do I need to return the license plates to UT DMV when sold?,"When you sell your vehicle, you should remove your license plates from the vehicle. If you do not remove the plates, you may be liable for any parking or traffic violations that occur while your plates remain on the car. However, the retrieved documents do not specify that you need to return the license plates to the Utah DMV.

References:
- https://dmv.utah.gov/faq/titles
 - https://dmv.utah.gov/buying-selling/responsibilities
 - https://dmv.utah.gov/buying-selling/dealer
 - https://dmv.utah.gov/impounds/impound-sales
 - https://dmv.utah.gov/buying-selling/dealer/tradein-payoff","High. The information is directly extracted from the provided document, which advises removing the license plates but does not mention returning them to the DMV ."
31.md,How much do I need to pay for sales tax on a gifted vehicle?,"In Utah, sales tax is due on vehicle sales between family members, and there is no exemption for family-to-family vehicle purchases. The amount of sales tax you need to pay is based on the purchase price, which includes any value of the consideration given, such as cash payments, loan payoffs, and trades . The purchase price you claim on documents when registering your vehicle must state the price you actually paid, and the documents will be reviewed for accuracy by the Tax Commission .

If the vehicle was gifted and there was no monetary exchange, you may need to verify this information directly with the Utah DMV to determine the exact tax obligations, as the typical process involves calculating sales tax based on the net purchase price or fair market value when a purchase price is not provided .

References:
- https://dmv.utah.gov/taxes-fees
 - https://dmv.utah.gov/buying-selling/responsibilities
 - https://dmv.utah.gov/faq/titles
 - https://dmv.utah.gov/faq/upp
 - https://dmv.utah.gov/vehicles/rebuilt/specially-constructed","Medium
**Reasoning:** The documents provide detailed information on sales tax for vehicle purchases, including family-to-family transactions, but they do not specifically address the scenario of a gifted vehicle. Verifying with the Utah DMV is recommended to ensure all obligations are met correctly."
32.md,How do I get a new month sticker for my car?,"To get a new month sticker for your car in Utah, follow these steps:

1. **Call**: You can call the Utah DMV at 801-297-7780 or 1-800-DMV-UTAH.
2. **Visit a DMV Office**: Go to any DMV office in person.
3. **Visit an On The Spot Renewal Station**: These stations offer immediate services for vehicle inspections, renewals, and sticker replacements.
4. **Email**: Send an email request to the Utah DMV at dmv@utah.gov.

There is no fee for replacing a month sticker .

References:
- https://dmv.utah.gov/general/replacements
 - https://dmv.utah.gov/register/ots-renewal
 - https://dmv.utah.gov/contact/scheduler
 - https://dmv.utah.gov/plates/farm
 - https://dmv.utah.gov/plates/specialinterestvehicle","HIGH
This information is directly provided by the Utah DMV's official guidelines on replacing month decals."
33.md,,"

References:
",
34.md,How to get a duplicate registration?,"To request a duplicate registration in Utah, you can follow these steps:

1. Visit the Utah DMV website.
2. Navigate to the section for requesting a duplicate registration. 

For more information, you may contact the Utah DMV at 801-297-7780 or email them at dmv@utah.gov .

References:
- https://dmv.utah.gov/faq/registering
 - https://dmv.utah.gov/plates/army
 - https://dmv.utah.gov/plates/usu
 - https://dmv.utah.gov/plates/navy
 - https://dmv.utah.gov/plates/uvu","HIGH
The information is directly extracted from multiple retrieved documents, ensuring consistency and completeness."
35.md,How much is my Impound?,"The fees associated with impoundment in Utah can vary based on the reason for the impound. Below is a summary of the common impound release fees:

- **Improper/Expired/No Registration impound release**: Equal to the registration fee, plus any additional fees required at the time of release .
- **DUI (Driving Under the Influence) impound release**: $455.00 .
- **BUI (Boating Under the Influence) impound release**: $455.00 .
- **Ignition Interlock System (IIS) violation impound release**: $455.00 .
- **Exhibition Driving impound release**: $455.00 .
- **Driver�s license revoked due to drug or alcohol-related issues impound release**: $455.00 .
- **Revoked No Insurance impound release**: $100.00 .
- **Road rage impound release**: $455.00 .

Additionally, if the vehicle is not currently registered, all registration fees will also be required before the vehicle can be released . Towing and storage fees may also be assessed by the impound yard where the vehicle is held .

References:
- https://dmv.utah.gov/taxes-fees/summary
 - https://dmv.utah.gov/taxes-fees
 - https://dmv.utah.gov/impounds/certified-yards
 - https://dmv.utah.gov/impounds/fees
 - https://dmv.utah.gov/taxes-fees/uniform-fees","HIGH
This information is directly referenced from the official Utah DMV documentation."
36.md,To determine if I need a safety inspection for a vehicle that is past due for a yearly update?,"Effective January 1, 2018, the State of Utah removed the safety inspection requirement for most vehicles as a prerequisite for registration . However, certain vehicles still require safety inspections:

1. **Salvage vehicles that have been rebuilt and are requesting a rebuilt title** .
2. **First-time street legal ATV registrations**, including ownership transfers for previously registered street legal ATVs .
3. **Commercial vehicles** must obtain a safety inspection for display and presentation to law enforcement, but this is not a prerequisite for registration .
4. **Motor homes with three axles** are considered ""Class 6"" vehicles and require an annual safety inspection for display and presentation to law enforcement .

If your vehicle falls into any of these categories, a safety inspection will be required.

References:
- https://dmv.utah.gov/register/inspections
 - https://dmv.utah.gov/motorcarriers/inspection-requirements
 - https://dmv.utah.gov/faq/registering
 - https://dmv.utah.gov/titles/transfer-without-title
 - https://dmv.utah.gov/register/inspections","HIGH
This information is directly cited from the official Utah DMV documents, ensuring its accuracy and relevance."
37.md,Can I renew my registration online if I didn't register the vehicle last year?,"No, you cannot renew your registration online if your renewal has been expired for over 6 months. In such cases, you are required to visit a DMV office in person to complete the renewal process .

References:
- https://dmv.utah.gov/contact/scheduler
 - https://dmv.utah.gov/register/renewal
 - https://dmv.utah.gov/register
 - https://dmv.utah.gov/register/renewal
 - https://dmv.utah.gov/contact/scheduler","High
- The retrieved document explicitly states that some registration renewals require an in-person visit, including cases where the renewal has been expired for over 6 months ."
38.md,What to do with old license plates?,"When dealing with old license plates in Utah, you have several options:

1. **Collector License Plates:** You can purchase sample plates for collection purposes. To do this, complete Form TC-586, Collector License Plate Order, and mail it with a check or money order to the Utah State Tax Commission .

2. **Antique Plates:** If you have a vehicle model year 1973 or older, you can display original-issue license plates from the same year as the vehicle's model year. These plates need to be brought to a Motor Vehicle Office for verification to ensure they are authentic and do not conflict with existing series. If they cannot be used for registration purposes due to a conflict, you can apply for special antique plate decals .

3. **Historic Black & White Plates:** If you own a vehicle model year 1982 or older, you can apply for a historic black & white plate. For vehicles newer than 1983, they cannot be registered as vintage to obtain this plate. The plate can be personalized and is available for motorcycles as well .

References:
- https://dmv.utah.gov/plates/historic-bw
 - https://dmv.utah.gov/plates/collecting
 - https://dmv.utah.gov/plates/pow
 - https://dmv.utah.gov/plates/law-enforcement-memorial
 - https://dmv.utah.gov/plates/antique","High
**Reasoning:** The information provided is directly from the retrieved documents from the Utah DMV, detailing specific procedures and options for handling old license plates."
39.md,How to receive a current registration certificate for my car?,"To receive a current registration certificate for your car in Utah, you need to follow these steps:

1. **Renewal Options**: You can renew your registration through various methods including online, by mail, or at a DMV office. Each method has specific requirements:
   - **Online**: Use the DMV's online renewal website, Renewal Express. You will need to have applicable inspection certificates and pay all associated registration fees. If your registration has expired within the last six months, you can also obtain a temporary permit online .
   - **By Mail**: Send the required documents along with payment to the Motor Vehicle Division at P.O. Box 30412, Salt Lake City, UT 84130. Make the check payable to the Utah State Tax Commission .
   - **In Person**: Visit any DMV office in Utah. Depending on the situation, you may need an appointment. It's important to bring the original title or a bill of sale from the previous owner, and ensure all taxes and fees are paid at the time of registration .

2. **Required Documents**: Regardless of the method, you will need:
   - Most recent vehicle registration certificate.
   - If applicable, emissions inspection certificates and safety inspection certificates, especially if you live in counties like Salt Lake, Davis, Weber, Cache, or Utah .
   - Vehicle Identification Number (VIN) inspection, which can be performed by a DMV employee, peace officer, licensed dealer, or certified safety inspector .

3. **Additional Steps for New Residents**: If you have recently moved to Utah, you have 60 days to transfer your title and registration. You will need the existing title and the most recent registration. A VIN inspection is also required .

4. **Contact Information**: For more details or to handle specific inquiries, you can contact the DMV at 801-297-7780 or 1-800-DMV-UTAH .

References:
- https://dmv.utah.gov/contact/scheduler
 - https://dmv.utah.gov/contact/scheduler
 - https://dmv.utah.gov/titles/transfer-without-title
 - https://dmv.utah.gov/faq/registering
 - https://dmv.utah.gov/register/temporary-permits",High. The information is directly referenced from the Utah DMV guidelines and covers multiple methods and requirements for obtaining a current registration certificate. The steps and required documents are clearly outlined in the retrieved documents .
4.md,Why does my vintage vehicle require emissions?,"Your vintage vehicle may require an emissions inspection if it has a model year of 1983 or newer and is located in a county where emissions inspections are mandatory. According to Senate Bill 51, vintage vehicles with model years 1983 and newer must provide proof of an emissions inspection or proof of vehicle insurance specific to a collector vehicle at the time of registration in such counties .

References:
- https://dmv.utah.gov/motorcarriers/inspection-requirements
 - https://dmv.utah.gov/motorcarriers/inspection-requirements
 - https://dmv.utah.gov/faq/specific-vehicles-faq
 - https://dmv.utah.gov/register/inspections
 - https://dmv.utah.gov/register/inspections","High
- The information is directly pulled from the retrieved documents, which provide specific details about the requirements for vintage vehicles in Utah."
40.md,Why can't my 1983 be vintage and get the Black and white plate?,"Your 1983 vehicle cannot be registered as vintage and get the Historic Black & White plate because the Historic Black & White plate is available to any model year vehicle **except vehicles with model year 1983 and newer registered as vintage** . Vintage vehicles are defined as those that are at least 30 years old and are primarily collectors' items . However, if you wish to obtain the Historic Black & White plate, your 1983 vehicle cannot be registered as vintage .

References:
- https://dmv.utah.gov/plates/historic-bw
 - https://dmv.utah.gov/faq/specific-vehicles-faq
 - https://dmv.utah.gov/plates/vintagevehicle
 - https://dmv.utah.gov/plates
 - https://dmv.utah.gov/register/insurance","High
**Reasoning**: The information directly addresses the restriction on vehicles from the year 1983 and newer regarding the Historic Black & White plate and is consistent across multiple documents."
41.md,Do I need a title for a 1974 speedboat that is 15 feet long?,"No, you do not need a title for a 1974 speedboat that is 15 feet long. According to the Utah DMV, every 1985 or newer watercraft operated in Utah waters must be titled, which means your 1974 speedboat does not fall under the titling requirement .

References:
- https://dmv.utah.gov/vehicles/rebuilt/specially-constructed
 - https://dmv.utah.gov/vehicles/mobile-manufactured-homes
 - https://dmv.utah.gov/vehicles
 - https://dmv.utah.gov/vehicles/boats-watercraft
 - https://dmv.utah.gov/vehicles/rebuilt","High
**Reasoning:** The information clearly states that only watercraft from 1985 or newer need to be titled, which directly applies to the user�s 1974 speedboat."
42.md,What is the sales tax rate for Provo?,"The requested information is not available in the retrieved data. Please try another query or topic.

References:
- https://dmv.utah.gov/taxes-fees
 - https://dmv.utah.gov/buying-selling/responsibilities
 - https://dmv.utah.gov/faq/titles
 - https://dmv.utah.gov/faq/registering
 - https://dmv.utah.gov/vehicles/aircraft-registration","High. The retrieved documents contain detailed information about various taxes and fees related to vehicle registration and sales, but they do not specifically mention the sales tax rate for Provo."
43.md,Can I request Specialty plates online?,"Yes, you can request Specialty plates online. The Utah DMV provides an online service for ordering various types of specialty plates, including those supporting different causes and organizations. You can order these plates through the Utah State Tax Commission's Motor Vehicle Division website. Additionally, you have the option to order them at any DMV office location or by mail .

References:
- https://dmv.utah.gov/plates/mlk
 - https://dmv.utah.gov/plates/utah-tech
 - https://dmv.utah.gov/plates/army
 - https://dmv.utah.gov/plates/education
 - https://dmv.utah.gov/plates/navy","High
**Reasoning:** The information is directly provided in multiple retrieved documents, confirming that specialty plates can be ordered online, at DMV offices, or by mail."
44.md,Can I register my new car online?,"No, you cannot register a new car online in Utah. While many registration renewals and other DMV services can be completed online, the initial registration of a new vehicle typically requires an in-person visit to a DMV office to complete the necessary paperwork and inspections. For more information, you may refer to the Utah DMV website or contact your local DMV office.

References:
- https://dmv.utah.gov/register
 - https://dmv.utah.gov/contact/scheduler
 - https://dmv.utah.gov/contact/scheduler
 - https://dmv.utah.gov/register/renewal
 - https://dmv.utah.gov/buying-selling/responsibilities","High
The information provided is based on the retrieved documents, which mention the availability of online services primarily for renewals and other transactions, but not for initial vehicle registration ."
45.md,Can I request a duplicate registration online?,"Yes, you can request a duplicate registration online through the Utah DMV website.

References:
- https://dmv.utah.gov/faq/registering
 - https://dmv.utah.gov/plates/army
 - https://dmv.utah.gov/plates/navy
 - https://dmv.utah.gov/plates/ensign
 - https://dmv.utah.gov/register","High. The retrieved documents explicitly mention the option to ""REQUEST A DUPLICATE REGISTRATION"" as one of the services provided (, , , , )."
46.md,Can I request a duplicate title online?,"Yes, you can request a duplicate title online using the Utah Motor Vehicle Portal (MVP) . Alternatively, you can complete Form TC-123, Application for Duplicate Utah Title, and submit it by mail along with a $6.00 title fee .

References:
- https://dmv.utah.gov/faq/upp
 - https://dmv.utah.gov/faq/upp
 - https://dmv.utah.gov/titles/transfer-utah-title
 - https://dmv.utah.gov/faq/registering
 - https://dmv.utah.gov/faq/titles","High
**Reasoning:** The information is clearly provided in multiple retrieved documents from the Utah DMV website, confirming the availability of an online option for requesting a duplicate title."
47.md,Can I get a quote on registration fees?,"The registration fees depend on the type of vehicle and its age. Here are the details:

1. **Uniform Age-based Fee**:
   - **Passenger Vehicles**:
     - Less than 3 years old: $150
     - 3 to 6 years old: $110
     - 6 to 9 years old: $80
     - 9 to 12 years old: $50
     - 12 years and older: $10
   - **Small Vehicles**:
     - Less than 3 years old: $25
     - 3 to 6 years old: $15
     - 6 years and older: $10
   - **Off-Highway Vehicles**:
     - Less than 3 years old: $18
     - 3 to 6 years old: $14
     - 6 to 9 years old: $12
     - 9 to 12 years old: $8
     - 12 years and older: $4
   - **Snowmobiles**:
     - Less than 3 years old: $45
     - 3 to 6 years old: $35
     - 6 to 9 years old: $30
     - 9 to 12 years old: $20
     - 12 years and older: $10
   - **Street Legal ATVs**:
     - Less than 3 years old: $38
     - 3 to 6 years old: $28
     - 6 to 9 years old: $20

2. **Uniform Fee-in-lieu of Property Tax**:
   - Medium and heavy-duty trucks, commercial trailers, and vessels 31 feet and longer: 1.5% of the fair market value
   - Motor homes: 1.0% of the fair market value

For more detailed information, please refer to the Utah DMV's uniform fees page .

References:
- https://dmv.utah.gov/register/temporary-permits
 - https://dmv.utah.gov/taxes-fees
 - https://dmv.utah.gov/register/temporary-permits
 - https://dmv.utah.gov/taxes-fees/uniform-fees
 - https://dmv.utah.gov/taxes-fees/uniform-fees","High. The information is directly sourced from the Utah DMV's official website, providing clear and detailed fee structures."
48.md,How can I change my plate?,"To change your license plate in Utah, you can follow these steps:

1. **Visit a DMV Office**: You can change your plates by visiting any DMV office location. 

2. **Online Services**: You can also change your plates online through the Utah Motor Vehicle Portal (MVP) .

3. **Mail Request**: Alternatively, you can submit a request by mail. Send a written request along with a copy of your current registration to:
   ```
   Utah State Tax Commission
   Motor Vehicle Division
   P.O. Box 30412
   Salt Lake City, UT 84130
   ```
   If you are using express services like FedEx or UPS, use the zip code 84116 .

4. **Required Documentation**: Ensure you have a copy of your current registration and any required documentation for the special plate if applicable.

5. **Fees**: Be prepared to pay the necessary fees for the plate change. The fees vary based on the type of plate you are requesting.

For further details, you can contact the DMV at 801-297-7780 or 1-800-DMV-UTAH (800-368-8824) .

References:
- https://dmv.utah.gov/dmv-services
 - https://dmv.utah.gov/plates/collecting
 - https://dmv.utah.gov/plates/united
 - https://dmv.utah.gov/plates/sharetheroad
 - https://dmv.utah.gov/general/replacements","High. The information provided is directly sourced from the Utah DMV website documents, ensuring accuracy and completeness."
49.md,Do I need an appointment?,"Whether you need an appointment depends on the specific service or DMV office you plan to visit:

1. **Title and Registration**: If you have just purchased a vehicle and need to title and register it, you may need to schedule an appointment with the DMV. To find out if you need an appointment and to learn more about what documents to bring with you when you visit the DMV, you can check [here](aHR0cHM6Ly9zdGFkdmVudHVyZXdvcmtzZGV2MDAxLmJsb2IuY29yZS53aW5kb3dzLm5ldC91dGFoZG12L2h0bWwvdGl0bGUtcmVnaXN0cmF0aW9uLmh0bWw5) .

2. **Temporary Permits**: Some DMV offices require an appointment to obtain a temporary permit. Specifically, the offices in Salt Lake, South Valley, Provo, Farmington, Ogden, and Hurricane require appointments. You can schedule an appointment [here](aHR0cHM6Ly9zdGFkdmVudHVyZXdvcmtzZGV2MDAxLmJsb2IuY29yZS53aW5kb3dzLm5ldC91dGFoZG12L2h0bWwvdGVtcG9yYXJ5LXBlcm1pdHMuaHRtbA2) .

3. **General DMV Services**: For other services, such as releasing an impounded vehicle or applying for disabled plates or placards, appointments might be required or recommended. For specific services, you can check the appointment requirements and schedule an appointment [here](aHR0cHM6Ly9zdGFkdmVudHVyZXdvcmtzZGV2MDAxLmJsb2IuY29yZS53aW5kb3dzLm5ldC91dGFoZG12L2h0bWwvc2NoZWR1bGVyLmh0bWw1) .

References:
- https://dmv.utah.gov/buying-selling/title-registration
 - https://dmv.utah.gov/register/temporary-permits
 - https://dmv.utah.gov/faq/registering
 - https://dmv.utah.gov/contact/scheduler
 - https://dmv.utah.gov/contact/scheduler",High confidence. The information provided is directly extracted from the Utah DMV documents detailing the requirements for appointments for various services. Each fact is supported by corresponding citations.
5.md,What do I do about Lost license plate?,"If you have lost your license plate, you can replace it by following these steps:

1. **Visit your local DMV office**: You need to bring a copy of the most recent registration, the license plate number, or the Vehicle Identification Number (VIN) .
2. **Pay the required fee**: The fee for replacing a license plate depends on the type of plate. For example:
   - Standard Plates: $15.50
   - Personalized Plates: $18.00
   - Special Group Plates: $20.50
   - Personalized Special Group Plates: $20.00
   - OHV Tan Plate: $8.00 .

3. **Order online**: You can also order a replacement license plate online through the Motor Vehicle Portal .

4. **Order by mail**: Send a written request with a copy of the registration certificate and the applicable fee. If you are requesting by mail, include an additional $7.75 for postage .

### Mailing Address:
Division of Motor Vehicles  
Mail and Correspondence  
P.O. Box 30412  
Salt Lake City, UT 84130  

Important: Do not send cash by mail. Please make checks or money orders payable to the Utah State Tax Commission (USTC) .

References:
- https://dmv.utah.gov/general/replacements
 - https://dmv.utah.gov/faq/disabled-placards
 - https://dmv.utah.gov/plates/nationalguard
 - https://dmv.utah.gov/faq/personalized-plates
 - https://dmv.utah.gov/plates/united","High. The instructions provided are directly sourced from the official Utah DMV guidelines for replacing lost license plates, including the required documents, fees, and options for in-person, online, and mail requests."
50.md,How do I book an appointment?,"To book an appointment with the Utah DMV, follow these steps:

1. Visit the Utah DMV website.
2. Navigate to the ""Schedule an Appointment"" section.
3. Appointments are encouraged to save time and skip the line.
4. You can schedule an appointment online by selecting the appropriate service you need.

For more detailed instructions or to book an appointment directly, you can visit the [Utah DMV appointment scheduling page](https://www.utah.gov/scheduler/).

References:
- https://dmv.utah.gov/dmv-services
 - https://dmv.utah.gov/buying-selling/title-registration
 - https://dmv.utah.gov/plates/utah-tech
 - https://dmv.utah.gov/plates/boysgirls
 - https://dmv.utah.gov/plates/westminster","High
**Reasoning:** The information provided is directly extracted from the retrieved document, which details the process of scheduling an appointment and emphasizes that appointments can save time and help you avoid long lines ."
51.md,Where is my title?,"The requested information is not available in the retrieved data. Please try another query or topic.

References:
- https://dmv.utah.gov/contact/scheduler
 - https://dmv.utah.gov/faq/titles
 - https://dmv.utah.gov/dmv-services
 - https://dmv.utah.gov/faq/titles
 - https://dmv.utah.gov/buying-selling/title-registration","High
- The retrieved documents provide information on how to obtain a duplicate title, transfer titles, and general title-related procedures but do not offer a specific service to track the location of an individual title."
52.md,I need to update my Automatic Renewal payment?,"To update your Automatic Renewal payment for vehicle registration in Utah, follow these steps:

1. **Sign Up/Log In to MVP**: Access the Motor Vehicle Portal (MVP) to manage your automatic renewal settings. You can find the MVP [here](https://secure.utah.gov/).
2. **Provide Bank Account Information**: Ensure your bank account information is up-to-date to allow for automatic payment of registration renewal fees.
3. **Contact DMV if Needed**: If you encounter any issues or need further assistance, you can contact the DMV at 801-297-7780 or 1-800-DMV-UTAH.

For further instructions, you can refer to the DMV's Automatic Renewal section .

References:
- https://dmv.utah.gov/register/renewal
 - https://dmv.utah.gov/register/renewal
 - https://dmv.utah.gov/faq/rex-pins
 - https://dmv.utah.gov/dmv-services
 - https://dmv.utah.gov/buying-selling/dealer/tradein-payoff","High
**Reasoning**: The instructions provided are directly sourced from the Utah DMV website and cover the steps for updating automatic renewal payment information ."
53.md,How can I get an email renewal reminder?,"To set up an email renewal reminder for your vehicle registration, you can visit the Utah DMV's Motor Vehicle Portal (MVP). Through the MVP, you can enroll in the email renewal reminder service to receive notifications when your registration is due for renewal .

References:
- https://dmv.utah.gov/buying-selling/lemon-law
 - https://dmv.utah.gov/faq/rex-pins
 - https://dmv.utah.gov/vehicles/rebuilt/glider-kits
 - https://dmv.utah.gov/buying-selling/dealer/tradein-payoff
 - https://dmv.utah.gov/faq/titles",High. This information is directly retrieved from multiple documents and confirms the process of setting up email renewal reminders through the Utah DMV's Motor Vehicle Portal (MVP).
54.md,Can I renew my placards online?,"Yes, you can renew your disabled placards online. For placards that were issued before July 1, 2024, the DMV sends out renewal notices for permanent parking placards, which need only be signed and mailed back to the DMV. However, if you did not receive a renewal notice or it has been lost, you may renew your placard online, visit your local DMV office, or call the DMV to renew over the phone . Additionally, for existing permanent placards, you can process your renewal online, and the DMV will mail the new placard to you .

References:
- https://dmv.utah.gov/faq/disabled-placards
 - https://dmv.utah.gov/contact/scheduler
 - https://dmv.utah.gov/register/renewal
 - https://dmv.utah.gov/contact/scheduler
 - https://dmv.utah.gov/dmv-services","High. The information directly references the Utah DMV's procedures for renewing disabled placards online, as detailed in the retrieved documents."
55.md,How can I get my renewal information?,"You can get your renewal information through the Utah DMV's Motor Vehicle Portal (MVP). By entering your last name, zip code, license plate number, and the last four digits of your Vehicle Identification Number (VIN), you will receive the same information that would have been sent on your renewal notice, including your Renewal Express PIN, renewal fee, and inspection requirements . 

Additionally, you can access your registration renewal information, including your online renewal PIN, by visiting the Utah DMV's renewal page .

References:
- https://dmv.utah.gov/register/renewal
 - https://dmv.utah.gov/faq/rex-pins
 - https://dmv.utah.gov/taxes-fees/summary
 - https://dmv.utah.gov/contact/scheduler
 - https://dmv.utah.gov/faq/mvp","High
The information directly addresses how to access renewal information and is cited from the Utah DMV's official documents."
56.md,Can I make an IRP payment online?,"Yes, you can make an IRP (International Registration Plan) payment online. The Utah DMV provides online services for motor carriers, including the ability to make an IRP payment through their Motor Vehicle Portal (MVP) .

References:
- https://dmv.utah.gov/dmv-services
 - https://dmv.utah.gov/motorcarriers
 - https://dmv.utah.gov/index
 - https://dmv.utah.gov/buying-selling/lemon-law
 - https://dmv.utah.gov/general/privacy","High
The information comes directly from the Utah DMV website, specifically mentioning the availability of online services for motor carriers, which includes making IRP payments ."
57.md,How do I request a Refund?,"To request a refund from the Utah DMV, follow these steps:

1. **Determine Eligibility**: Refunds are given only under specific circumstances, such as:
   - If you renewed a vehicle that was previously sold, you might be eligible for a refund if you provide a bill of sale with specific details and the sale date is prior to the renewal date .
   - If you paid renewal fees before the expiration date and the vehicle was sold, traded-in, or became inoperable before that date, you may be eligible for a refund if you request it within six months .

2. **Gather Required Documents**: Collect necessary documents to support your claim. This may include:
   - Bill of sale with details such as the date of sale, VIN, and information about the seller and purchaser.
   - Proof that the vehicle was inoperable or sold before the expiration date .

3. **Submit Your Claim**: Use Utah�s Motor Vehicle Portal (MVP) to submit your claim for a refund. Submission of a claim does not guarantee approval .

4. **Processing Time**: Once submitted, the Division will review your request and supporting documentation. If approved, a refund check will be issued to the address provided. If denied, you will receive a letter explaining the reason for the denial. The process typically takes 6-8 weeks .

5. **Refund of DUI Fee**: In specific cases, such as for a DUI impound, you might be eligible for a refund if you provide proof of duplicate payment, a stolen vehicle report, or a letter from the Driver License Division indicating that the driver's license will not be revoked or suspended .

For more detailed information, visit the Utah DMV's ""Request a Refund"" page on their website .

References:
- https://dmv.utah.gov/taxes-fees/request-a-refund
 - https://dmv.utah.gov/taxes-fees/request-a-refund
 - https://dmv.utah.gov/impounds/dui
 - https://dmv.utah.gov/faq/registering
 - https://dmv.utah.gov/impounds/dui","High
**Reasoning**: The provided steps and requirements for requesting a refund are clearly outlined in the retrieved documents, ensuring accuracy and completeness in the response."
